算法                                    x            y          z        rx        ry       rz  四元数姿态(w,x,y,z)                                                                           距离
base_link->camera10  -0.137875     0.0785547    0.542534   -2.96314  -0.11112     -2.79987     [0.03937734596823525, 0.1739714756261868, -0.9791625298504164, 0.09707775455725026]       0.565264
base_link->camera11  -0.155427     0.0565269    0.549837   -3.01026  -0.0474651   -2.80862     [0.012480349441912392, 0.16685164297967514, -0.9835122386469912, 0.0686181211078734]      0.574172
base_link->camera12  -0.153215     0.000871919  0.559821   -3.10966  -0.00252443  -2.81884     [0.0013194561559917088, -0.16067453462315753, 0.9868775169606498, -0.015959933479370275]  0.58041
base_link->camera13  -0.116112    -0.00499788   0.544541    3.13508  -0.0605461   -2.83008     [0.03040709646355083, 0.15495964473636914, -0.9874516355844919, 0.0014779612130202374]    0.556805
base_link->camera14  -0.116326    -0.00943219   0.545467    3.13965  -0.062438    -2.78223     [0.030885325577644868, 0.17860092145708586, -0.9834258766847239, 0.00462088579444465]     0.557812
base_link->camera15  -0.409116    -0.178206     0.404236    3.13181   0.802894    -2.59746     [0.3751635825224711, -0.249194870969881, 0.8861147470940463, 0.10933827149568157]         0.602113
base_link->camera16  -0.183824     0.0327008    0.551814   -3.01601   0.0697254   -2.76808     [0.0458262117959306, -0.18304354567158326, 0.9804855474367951, -0.055164390397950694]     0.582546
base_link->camera17  -0.132699     0.0412955    0.547576   -3.09508  -0.0440078   -2.87446     [0.01870405889244135, 0.13360850944500952, -0.9905172266361862, 0.02597206425739176]      0.564937
base_link->camera18  -0.166916     0.046535     0.545045   -2.99678  -0.0343435   -2.71617     [0.0014699950063024369, 0.21173888753952078, -0.9744954757486701, 0.07431722790565395]    0.571927
base_link->camera19  -0.119369     0.0385043    0.524511   -3.07281  -0.0893016   -2.72094     [0.036454316467664706, 0.20995031468266773, -0.9760895205906849, 0.04290915949504562]     0.539299
base_link->camera20  -0.161638     0.034511     0.576623   -3.06629   0.0424638   -2.78874     [0.027491008975186478, -0.17456048849867142, 0.9836982665388496, -0.03332567612358209]    0.599843
base_link->camera21  -0.127515     0.0754683    0.534758   -2.96425  -0.107833    -2.8484      [0.040185943442335156, 0.15000952882586627, -0.9832580365036888, 0.09531980309464251]     0.554907
mean                 -0.155673     0.0276477    0.543898   -1.63782   0.00606605  -2.78852     0.5731109363204245
var                   0.00381674   0.00306691   0.0011112   6.63068   0.0333064    0.00323316  0.00036212841341621405
std                   0.0617797    0.0553797    0.0333346   2.57501   0.1825       0.0568609   0.019029671920876987
指令: r 记录,c 计算,s  保存,q  退出:p
hand,-0.1909458309578825, -0.02952500862704461, 0.13243605612807047, 3.50406035693302, 15.15085569971144, -158.1282435584546
eye,0.05867322161793709, -0.02527722716331482, 0.42452430725097656, -167.08145861001617, -7.549849106083073, -63.19274776900387
hand,-0.1565034940831694, -0.011030362075137507, 0.06552500172011347, -28.641050869680043, 3.2333318666668056, -165.20695733232802
eye,0.009385162964463234, -0.013747572898864746, 0.4660809338092804, 165.61490149500406, -30.32437011077225, -53.032948010116435
hand,-0.1476037175259613, 0.016290567659415053, 0.0724192630858852, -19.76289786113997, -0.18892768844943184, -152.6109533006091
eye,-0.005594422575086355, 0.011987942270934582, 0.4538417160511017, 170.31239206628578, -22.813757413041202, -66.98207483314886
hand,-0.1646276745002741, 0.11715069778303924, 0.05932548241058447, -31.67408273463359, 3.912626022004683, -169.4124586124843
eye,-0.005168895702809095, 0.10511548072099686, 0.4551430344581604, 162.43715096990059, -36.3186045432866, -49.63088773843153
hand,-0.18821803229366102, 0.06598943654046668, 0.052982638123447806, 25.160915780319176, 12.166836141522879, -73.8299385023172
eye,0.03216411545872688, 0.07485400140285492, 0.4970308542251587, -152.828875583723, 5.6091502351023825, -141.89891904224694
hand,-0.15820517020659713, 0.048762743021836426, 0.06846603798990067, 17.22408959483655, 5.191583447971759, -13.403550136469317
eye,0.003280394244939089, 0.04936062917113304, 0.4609689712524414, -158.82550077498234, 15.550563211540116, 158.18588235335682
hand,-0.10753626044710526, -0.011041855946589954, 0.10758489779954994, -6.570067298974735, 5.676544282249046, 15.806463632457149
eye,-0.03656747192144394, -0.018587946891784668, 0.421250581741333, 171.83815519408535, -7.807323777580737, 125.77539556980545
hand,-0.1278985606251319, -0.025321781960905593, 0.058993447114078446, 38.481462198255315, 48.234082742392964, 8.980838883132376
eye,-0.023742470890283585, -0.03686762601137161, 0.4760359227657318, -120.93860507783211, -2.830892849929179, 145.20589083289497
hand,-0.19995382745948032, 0.058860028428016076, 0.04651156113248667, 40.05447254692212, 11.036739588949255, -83.8923822535399
eye,0.04731586575508118, 0.07517793029546738, 0.5179858207702637, -143.06026894908325, 19.17045197056506, -125.54996961577402
hand,-0.2601409659344997, 0.11072880881479429, 0.1778059333334896, -12.824336818928884, 9.86767327274137, 170.87518945325726
eye,0.10794030129909515, 0.12956175208091736, 0.3695942163467407, -176.4419805563596, -13.03543768167828, -33.62922869134137
hand,-0.10764530560008188, -0.06608782981879817, 0.11072346658137544, 25.17655812023006, -10.997584908482418, -69.88262848242569
eye,-0.017157096415758133, -0.0664294958114624, 0.435733437538147, -167.56828723132173, 27.274047705323788, -146.52277252803864
hand,-0.1289103980499594, -0.048006022981273676, 0.0930284855255454, 27.343129165858254, -2.905893002311986, -80.23098000283679
eye,-0.002470846986398101, -0.04561109095811844, 0.45157352089881897, -163.98476768893966, 21.826551062899753, -136.3578435630838
hand,-0.12466279028608115, -0.052180642274879445, 0.05732907535705012, -53.37027160428626, -20.82237715763426, -158.55946367966763
eye,-0.017217088490724564, -0.057125065475702286, 0.49344733357429504, 124.38892269531779, -30.263997583565608, -38.368369571945486
hand,-0.09454089242915838, -0.001589934685480075, 0.08244428882092644, -32.765960824157254, -31.566344388418145, -141.6375157291586
eye,-0.06023188680410385, -0.011132221668958664, 0.44579577445983887, 136.33777344000873, -9.645518584429947, -68.7697570414871
hand,-0.09214994723594513, -0.02118715313623601, 0.08244428882092639, -32.765960824157254, -31.566344388418145, -129.65255949462687
eye,-0.058688387274742126, -0.023314662277698517, 0.4467763602733612, 136.493650976494, -9.371567121354074, -78.02172849691034
hand,-0.11289423442458774, -0.0175437484765728, 0.10559414449968302, 19.37645177136755, 21.666191109973845, -129.68537732949494
eye,-0.02507401444017887, -0.014819441363215446, 0.432975709438324, 159.15804001682974, 14.616319421308276, -83.02245101109412
hand,-0.18239828537662764, 0.06682471024176057, 0.06363349225638978, -35.529716908005206, 14.569501021893723, 139.45742578260408
eye,0.028959661722183228, 0.08856333047151566, 0.46441903710365295, 163.68607866617427, -34.1508872494423, 2.8137916848092708
hand,-0.14610932462304868, 0.0046496777067481215, 0.08118696547652246, -27.339707900170954, 10.536360117947979, 103.89055298591313
eye,0.009773674421012402, -0.00830285344272852, 0.45133015513420105, 168.46780980841754, -30.081726805741766, 31.156699737737423
hand,-0.1268360160668243, -0.07267860257927601, 0.08118696547652246, -14.940471870290496, 25.327421911217055, 174.09473498028964
eye,0.005033101420849562, -0.05846874415874481, 0.46090662479400635, -173.10920097176972, -31.128696497251443, -34.539827302874855
hand,-0.19248764138161084, -0.005325064168867112, 0.041138013935152734, -46.69577156282343, 23.724984480699597, 86.25581607607312
eye,0.05089617893099785, 0.032604534178972244, 0.47588902711868286, 168.60966630006646, -51.70691366966222, 53.78852754893437
hand,-0.27303669275073594, 0.06624854613902537, 0.08475217262507284, -25.97910990202603, -5.851009129479196, 95.52869701678053
eye,0.12068451195955276, 0.10272657871246338, 0.4638156294822693, 156.80902642629766, -14.786640399942858, 48.74709810116025
hand,-0.11982114222669041, -0.043340176505412525, 0.1791543327084362, -4.742272783364646, 53.298511347979606, -166.03170434607642
eye,0.0039454130455851555, -0.052309680730104446, 0.3613627552986145, -131.26875881429334, -37.447191569131995, -73.69985926450967
